%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134041108215811,83,1562884222758515456,fcu,98569.9951171875,0.0
1648134041129049092,84,1562884222778515456,fcu,98569.9951171875,0.0
1648134041149575930,85,1562884222801515456,fcu,98569.9951171875,0.0
1648134041168514032,86,1562884222818515456,fcu,98569.9951171875,0.0
1648134041190596021,87,1562884222841423552,fcu,98600.0,0.0
1648134041205660191,88,1562884222855423552,fcu,98600.0,0.0
1648134041229196854,89,1562884222878423552,fcu,98600.0,0.0
1648134041250028777,90,1562884222901423552,fcu,98600.0,0.0
1648134041272583755,91,1562884222922423552,fcu,98600.0,0.0
1648134041293320798,92,1562884222942608640,fcu,98600.0,0.0
1648134041310463384,93,1562884222960608640,fcu,98600.0,0.0
1648134041328173613,94,1562884222978608640,fcu,98600.0,0.0
1648134041348691880,95,1562884222998608640,fcu,98600.0,0.0
1648134041368913650,96,1562884223018608640,fcu,98600.0,0.0
1648134041386250876,97,1562884223035556416,fcu,98600.0,0.0
1648134041411761659,98,1562884223062556416,fcu,98600.0,0.0
1648134041432521194,99,1562884223082556416,fcu,98600.0,0.0
1648134041452101286,100,1562884223102556416,fcu,98600.0,0.0
1648134041472523280,101,1562884223123556416,fcu,98600.0,0.0
1648134041492596919,102,1562884223141582528,fcu,98609.99755859375,0.0
1648134041511487654,103,1562884223163582528,fcu,98609.99755859375,0.0
1648134041533350296,104,1562884223183582528,fcu,98609.99755859375,0.0
1648134041549103678,105,1562884223198582528,fcu,98609.99755859375,0.0
1648134041570910849,106,1562884223221582528,fcu,98609.99755859375,0.0
1648134041588350692,107,1562884223239497024,fcu,98609.99755859375,0.0
1648134041609968100,108,1562884223261497024,fcu,98600.0,0.0
1648134041627448197,109,1562884223278497024,fcu,98600.0,0.0
1648134041648706986,110,1562884223298497024,fcu,98600.0,0.0
1648134041668732639,111,1562884223318497024,fcu,98600.0,0.0
1648134041690491800,112,1562884223341448896,fcu,98519.9951171875,0.0
1648134041708068035,113,1562884223358448896,fcu,98519.9951171875,0.0
1648134041729909301,114,1562884223380448896,fcu,98519.9951171875,0.0
1648134041749060959,115,1562884223398448896,fcu,98519.9951171875,0.0
1648134041769422711,116,1562884223421448896,fcu,98519.9951171875,0.0
1648134041790800779,117,1562884223441594816,fcu,98589.99633789062,0.0
1648134041810333115,118,1562884223460594816,fcu,98589.99633789062,0.0
1648134041831391727,119,1562884223481594816,fcu,98589.99633789062,0.0
1648134041848765855,120,1562884223498594816,fcu,98589.99633789062,0.0
1648134041868766718,121,1562884223518594816,fcu,98589.99633789062,0.0
1648134041888506497,122,1562884223538584576,fcu,98589.99633789062,0.0
1648134041910437961,123,1562884223560584576,fcu,98589.99633789062,0.0
1648134041927782230,124,1562884223578584576,fcu,98589.99633789062,0.0
1648134041948348582,125,1562884223598584576,fcu,98589.99633789062,0.0
1648134041969553847,126,1562884223621584576,fcu,98589.99633789062,0.0
1648134041992052271,127,1562884223641654720,fcu,98569.9951171875,0.0
1648134042008472884,128,1562884223658654720,fcu,98569.9951171875,0.0
1648134042028210385,129,1562884223678654720,fcu,98569.9951171875,0.0
1648134042047562996,130,1562884223698654720,fcu,98569.9951171875,0.0
1648134042068891303,131,1562884223718654720,fcu,98569.9951171875,0.0
1648134042088280033,132,1562884223738541312,fcu,98569.9951171875,0.0
1648134042108118686,133,1562884223758541312,fcu,98569.9951171875,0.0
1648134042130905724,134,1562884223780541312,fcu,98569.9951171875,0.0
1648134042150197192,135,1562884223800541312,fcu,98569.9951171875,0.0
1648134042170000461,136,1562884223821541312,fcu,98569.9951171875,0.0
1648134042191258327,137,1562884223841661120,fcu,98550.0,0.0
1648134042208987698,138,1562884223858661120,fcu,98550.0,0.0
1648134042228796376,139,1562884223878661120,fcu,98550.0,0.0
1648134042250239888,140,1562884223901661120,fcu,98550.0,0.0
1648134042269359892,141,1562884223918661120,fcu,98550.0,0.0
1648134042288840351,142,1562884223938783232,fcu,98550.0,0.0
1648134042308708630,143,1562884223958783232,fcu,98569.9951171875,0.0
1648134042329212234,144,1562884223980783232,fcu,98569.9951171875,0.0
1648134042350621870,145,1562884224000783232,fcu,98569.9951171875,0.0
1648134042370289167,146,1562884224021783232,fcu,98569.9951171875,0.0
1648134042391601276,147,1562884224041783232,fcu,98589.99633789062,0.0
1648134042409984557,148,1562884224061783232,fcu,98589.99633789062,0.0
1648134042429284341,149,1562884224078783232,fcu,98589.99633789062,0.0
1648134042449377215,150,1562884224098783232,fcu,98589.99633789062,0.0
1648134042465715648,151,1562884224115783232,fcu,98589.99633789062,0.0
1648134042488143162,152,1562884224138688000,fcu,98589.99633789062,0.0
1648134042510358205,153,1562884224161688000,fcu,98569.9951171875,0.0
1648134042531837945,154,1562884224182688000,fcu,98569.9951171875,0.0
1648134042550689283,155,1562884224201688000,fcu,98569.9951171875,0.0
1648134042572593025,156,1562884224222688000,fcu,98569.9951171875,0.0
1648134042591200424,157,1562884224241782720,fcu,98619.9951171875,0.0
1648134042608543314,158,1562884224258782720,fcu,98619.9951171875,0.0
1648134042630939770,159,1562884224281782720,fcu,98619.9951171875,0.0
1648134042650554856,160,1562884224301782720,fcu,98619.9951171875,0.0
1648134042670356950,161,1562884224321782720,fcu,98619.9951171875,0.0
1648134042691640301,162,1562884224342232256,fcu,98559.99755859375,0.0
1648134042709622266,163,1562884224362232256,fcu,98559.99755859375,0.0
1648134042729530219,164,1562884224382232256,fcu,98559.99755859375,0.0
1648134042748864914,165,1562884224399232256,fcu,98559.99755859375,0.0
1648134042768151361,166,1562884224419232256,fcu,98559.99755859375,0.0
1648134042791399802,167,1562884224441987776,fcu,98579.99877929688,0.0
1648134042808785817,168,1562884224458987776,fcu,98579.99877929688,0.0
1648134042826485771,169,1562884224475987776,fcu,98579.99877929688,0.0
1648134042850460992,170,1562884224501987776,fcu,98579.99877929688,0.0
1648134042870453556,171,1562884224520987776,fcu,98579.99877929688,0.0
1648134042891176297,172,1562884224541588160,fcu,98569.9951171875,0.0
1648134042908631891,173,1562884224558588160,fcu,98569.9951171875,0.0
1648134042928199364,174,1562884224578588160,fcu,98569.9951171875,0.0
1648134042949230566,175,1562884224598588160,fcu,98569.9951171875,0.0
1648134042969102331,176,1562884224618588160,fcu,98569.9951171875,0.0
1648134042991659730,177,1562884224641814208,fcu,98569.9951171875,0.0
1648134043008714482,178,1562884224658814208,fcu,98569.9951171875,0.0
1648134043028643158,179,1562884224678814208,fcu,98569.9951171875,0.0
1648134043048568109,180,1562884224698814208,fcu,98569.9951171875,0.0
1648134043070184974,181,1562884224720814208,fcu,98569.9951171875,0.0
1648134043088463109,182,1562884224739444800,fcu,98569.9951171875,0.0
1648134043108715471,183,1562884224758444800,fcu,98589.99633789062,0.0
1648134043128349057,184,1562884224778444800,fcu,98589.99633789062,0.0
1648134043148226804,185,1562884224798444800,fcu,98589.99633789062,0.0
1648134043169201220,186,1562884224818444800,fcu,98589.99633789062,0.0
1648134043191352090,187,1562884224841362368,fcu,98579.99877929688,0.0
1648134043209929064,188,1562884224860362368,fcu,98579.99877929688,0.0
1648134043229626217,189,1562884224881362368,fcu,98579.99877929688,0.0
1648134043252053075,190,1562884224902362368,fcu,98579.99877929688,0.0
1648134043270903361,191,1562884224921362368,fcu,98579.99877929688,0.0
1648134043287936392,192,1562884224939066880,fcu,98579.99877929688,0.0
1648134043307655154,193,1562884224959066880,fcu,98579.99877929688,0.0
1648134043329020161,194,1562884224979066880,fcu,98579.99877929688,0.0
1648134043349475315,195,1562884225002066880,fcu,98579.99877929688,0.0
1648134043372093260,196,1562884225023066880,fcu,98579.99877929688,0.0
1648134043390682603,197,1562884225041872320,fcu,98559.99755859375,0.0
1648134043410747212,198,1562884225061872320,fcu,98559.99755859375,0.0
1648134043430107025,199,1562884225081872320,fcu,98559.99755859375,0.0
1648134043450121236,200,1562884225101872320,fcu,98559.99755859375,0.0
1648134043468971924,201,1562884225118872320,fcu,98559.99755859375,0.0
1648134043491635395,202,1562884225141543104,fcu,98589.99633789062,0.0
