%time,field.data
1647529951848442698,-0.098
1647529951865555564,-0.098
1647529951885127631,-0.098
1647529951905528318,-0.098
1647529951924986950,-0.1
1647529951945818761,-0.1
1647529951968296005,-0.1
1647529951985689420,-0.1
1647529952005356011,-0.1
1647529952026691013,-0.107
1647529952046264304,-0.107
1647529952065469587,-0.107
1647529952085667577,-0.107
1647529952106154769,-0.107
1647529952125174316,-0.106
1647529952145049111,-0.106
1647529952165770072,-0.106
1647529952185311811,-0.106
1647529952205374143,-0.106
1647529952225132576,-0.101
1647529952244964829,-0.101
1647529952265761475,-0.101
1647529952286361054,-0.101
1647529952306038034,-0.101
1647529952324912900,-0.106
1647529952350471227,-0.106
1647529952365765076,-0.106
1647529952386870471,-0.106
1647529952411709635,-0.106
1647529952426087282,-0.104
1647529952445519251,-0.104
1647529952465558359,-0.104
1647529952487498941,-0.104
1647529952505099930,-0.104
1647529952525622452,-0.106
1647529952545000161,-0.106
1647529952565289797,-0.106
1647529952586033348,-0.106
1647529952604871135,-0.106
1647529952624635336,-0.108
1647529952645558320,-0.108
1647529952664367434,-0.108
1647529952686060410,-0.108
1647529952705411119,-0.108
1647529952724538650,-0.108
1647529952744626309,-0.108
1647529952764055304,-0.108
1647529952785735386,-0.108
1647529952805385925,-0.108
1647529952825130351,-0.113
1647529952844273972,-0.113
1647529952863836975,-0.113
1647529952885245657,-0.113
1647529952907461383,-0.113
1647529952924741873,-0.111
1647529952945110294,-0.111
1647529952965252815,-0.111
1647529952985077611,-0.111
1647529953006748825,-0.111
1647529953026464925,-0.112
1647529953045633306,-0.112
1647529953064494300,-0.112
1647529953085552621,-0.112
1647529953105641613,-0.112
1647529953123869010,-0.115
1647529953145546494,-0.115
1647529953166082270,-0.115
1647529953186796046,-0.115
1647529953205932461,-0.115
1647529953224780121,-0.112
1647529953247499441,-0.112
1647529953265504734,-0.112
1647529953285304655,-0.112
1647529953304850289,-0.112
1647529953324544222,-0.108
1647529953345786481,-0.108
1647529953365422380,-0.108
1647529953384618909,-0.108
1647529953403416522,-0.108
1647529953425342457,-0.106
1647529953444787752,-0.106
1647529953463779634,-0.106
1647529953484439476,-0.106
1647529953504674314,-0.106
1647529953524286163,-0.109
1647529953543734268,-0.109
1647529953564290504,-0.109
1647529953585664925,-0.109
1647529953605495163,-0.109
1647529953624039737,-0.111
1647529953650310421,-0.111
1647529953664824196,-0.111
1647529953684803333,-0.111
1647529953704990603,-0.111
1647529953724444187,-0.104
1647529953744240148,-0.104
1647529953763610957,-0.104
1647529953785082455,-0.104
1647529953805520974,-0.104
1647529953824347125,-0.106
1647529953844465244,-0.106
1647529953863837223,-0.106
1647529953886061294,-0.106
1647529953904572187,-0.106
1647529953924422009,-0.105
1647529953944028211,-0.105
1647529953963772141,-0.105
1647529953984567088,-0.105
1647529954004254655,-0.105
1647529954023823475,-0.105
1647529954043973452,-0.105
1647529954063781482,-0.105
1647529954087385723,-0.105
1647529954103036585,-0.105
1647529954124182028,-0.097
1647529954143975578,-0.097
1647529954163685000,-0.097
1647529954184656957,-0.097
1647529954204905213,-0.097
1647529954234617758,-0.102
1647529954244957790,-0.102
1647529954264268451,-0.102
1647529954283925661,-0.102
1647529954305326409,-0.102
1647529954324525231,-0.101
1647529954344483340,-0.101
1647529954364090377,-0.101
1647529954384020603,-0.101
1647529954403866000,-0.101
1647529954424968383,-0.103
1647529954445227175,-0.103
1647529954464605066,-0.103
1647529954484397567,-0.103
1647529954503960322,-0.103
1647529954525363844,-0.101
1647529954543861366,-0.101
1647529954564822756,-0.101
1647529954584790870,-0.101
1647529954604535323,-0.101
1647529954624435338,-0.101
1647529954644290166,-0.101
1647529954664291883,-0.101
1647529954685425201,-0.101
1647529954705956082,-0.101
1647529954724711099,-0.091
1647529954744191850,-0.091
1647529954764482486,-0.091
1647529954784713596,-0.091
1647529954804547714,-0.091
1647529954823844515,-0.098
1647529954843795587,-0.098
1647529954863791246,-0.098
1647529954888188642,-0.098
1647529954907657870,-0.098
1647529954924998299,-0.098
1647529954945137689,-0.098
1647529954965230224,-0.098
1647529954986737880,-0.098
1647529955005654495,-0.098
1647529955024183898,-0.098
1647529955047592997,-0.098
1647529955066450649,-0.098
1647529955084594516,-0.098
1647529955105183916,-0.098
1647529955124090521,-0.098
1647529955145572760,-0.098
1647529955164374170,-0.098
1647529955184211315,-0.098
1647529955205113185,-0.098
1647529955229171179,-0.097
1647529955245878758,-0.097
1647529955264669768,-0.097
1647529955284375839,-0.097
1647529955305083897,-0.097
1647529955323525860,-0.089
1647529955344722605,-0.089
1647529955364531028,-0.089
1647529955384876733,-0.089
1647529955404233095,-0.089
1647529955424793504,-0.097
1647529955445044277,-0.097
1647529955464352662,-0.097
1647529955484182577,-0.097
1647529955504647245,-0.097
1647529955524762245,-0.1
1647529955544605189,-0.1
1647529955564488913,-0.1
1647529955584629873,-0.1
1647529955604637342,-0.1
1647529955624955477,-0.094
1647529955644787776,-0.094
1647529955664257144,-0.094
1647529955685274987,-0.094
1647529955705552868,-0.094
1647529955724619911,-0.092
1647529955745689433,-0.092
1647529955765533138,-0.092
1647529955785093846,-0.092
1647529955805574297,-0.092
1647529955827166339,-0.095
1647529955845598272,-0.095
1647529955864834704,-0.095
1647529955887254237,-0.095
1647529955906416525,-0.095
1647529955924784624,-0.097
1647529955945262994,-0.097
1647529955964465199,-0.097
1647529955984034932,-0.097
1647529956004329352,-0.097
1647529956025177953,-0.097
1647529956044687768,-0.097
1647529956064457266,-0.097
1647529956088799450,-0.097
1647529956107202304,-0.097
1647529956124324728,-0.096
1647529956145200962,-0.096
1647529956164953806,-0.096
1647529956184748796,-0.096
1647529956203989823,-0.096
1647529956225137980,-0.092
