%time,field.data
1647529659264525868,-0.104
1647529659270065152,-0.104
1647529659284848082,-0.104
1647529659306013293,-0.104
1647529659325509872,-0.104
1647529659338598397,-0.104
1647529659355103527,-0.104
1647529659371975772,-0.104
1647529659387930296,-0.104
1647529659402426391,-0.104
1647529659421675935,-0.104
1647529659437386247,-0.104
1647529659455551674,-0.108
1647529659476977175,-0.108
1647529659493007688,-0.108
1647529659510841644,-0.108
1647529659529571261,-0.108
1647529659547837331,-0.101
1647529659570535225,-0.101
1647529659583968172,-0.101
1647529659599075484,-0.101
1647529659616047252,-0.101
1647529659634704477,-0.101
1647529659650225688,-0.108
1647529659667076791,-0.108
1647529659686951134,-0.108
1647529659704223318,-0.108
1647529659719559246,-0.108
1647529659737423941,-0.108
1647529659756452824,-0.097
1647529659776471929,-0.097
1647529659793032473,-0.097
1647529659809511689,-0.097
1647529659829631452,-0.097
1647529659846588852,-0.104
1647529659859932937,-0.104
1647529659876979371,-0.104
1647529659896275260,-0.104
1647529659911544385,-0.104
1647529659934385324,-0.104
1647529659948464199,-0.107
1647529659965891792,-0.107
1647529659980259449,-0.107
1647529659996718604,-0.107
1647529660012487956,-0.107
1647529660030857606,-0.107
1647529660049392786,-0.107
1647529660064618295,-0.107
1647529660084444654,-0.107
1647529660102176146,-0.107
1647529660120228202,-0.107
1647529660138151444,-0.107
1647529660154453164,-0.102
1647529660170217057,-0.102
1647529660188147879,-0.102
1647529660206210836,-0.102
1647529660224899167,-0.102
1647529660239776212,-0.102
1647529660256259722,-0.103
1647529660269414605,-0.103
1647529660288810668,-0.103
1647529660307250103,-0.103
1647529660324244592,-0.103
1647529660345405826,-0.103
1647529660361094023,-0.101
1647529660380032779,-0.101
1647529660397903376,-0.101
1647529660415042762,-0.101
1647529660434989766,-0.101
1647529660451336439,-0.105
1647529660469664792,-0.105
1647529660480494526,-0.105
1647529660500066043,-0.105
1647529660518702433,-0.105
1647529660537649481,-0.105
1647529660550634537,-0.104
1647529660569800635,-0.104
1647529660588802953,-0.104
1647529660604007318,-0.104
1647529660624677389,-0.104
1647529660644624498,-0.104
1647529660658983681,-0.103
1647529660673365156,-0.103
1647529660690281378,-0.103
1647529660706246158,-0.103
1647529660726088444,-0.103
1647529660746046076,-0.103
1647529660759283269,-0.106
1647529660778441179,-0.106
1647529660791393062,-0.106
1647529660808055214,-0.106
1647529660828873709,-0.106
1647529660844158860,-0.106
1647529660861406719,-0.1
1647529660878299092,-0.1
1647529660893554250,-0.1
1647529660913176127,-0.1
1647529660934652302,-0.1
1647529660949084509,-0.103
1647529660969126999,-0.103
1647529660987369194,-0.103
1647529661003643287,-0.103
1647529661024402830,-0.103
1647529661039763907,-0.103
1647529661059123563,-0.107
1647529661073744714,-0.107
1647529661093454467,-0.107
1647529661117382783,-0.107
1647529661126704937,-0.107
1647529661147532600,-0.1
1647529661167382081,-0.1
1647529661181138092,-0.1
1647529661198735147,-0.1
1647529661217393441,-0.1
1647529661238231626,-0.1
1647529661250046442,-0.102
1647529661265254159,-0.102
1647529661282056824,-0.102
1647529661307640667,-0.102
1647529661319474959,-0.102
1647529661337387419,-0.102
1647529661351128475,-0.105
1647529661371181648,-0.105
1647529661390303340,-0.105
1647529661407723706,-0.105
1647529661429124171,-0.105
1647529661443484661,-0.105
1647529661457898518,-0.104
1647529661473187654,-0.104
