%time,field.data
1647527503213520706,-0.106
1647527503224456875,-0.106
1647527503244630720,-0.098
1647527503262690310,-0.098
1647527503281043708,-0.098
1647527503299190571,-0.098
1647527503319216252,-0.098
1647527503339214761,-0.098
1647527503359381980,-0.102
1647527503379177430,-0.102
1647527503397867319,-0.102
1647527503419226741,-0.102
1647527503438928937,-0.102
1647527503459154114,-0.103
1647527503482186591,-0.103
1647527503498960089,-0.103
1647527503518156519,-0.103
1647527503538179655,-0.103
1647527503558742416,-0.102
1647527503579500584,-0.102
1647527503600690377,-0.102
1647527503619100579,-0.102
1647527503639738285,-0.102
1647527503659246241,-0.098
1647527503679745797,-0.098
1647527503705869486,-0.098
1647527503721071397,-0.098
1647527503739356295,-0.098
1647527503759357343,-0.103
1647527503778457654,-0.103
1647527503801563881,-0.103
1647527503818163058,-0.103
1647527503839232821,-0.103
1647527503858230793,-0.107
1647527503879579076,-0.107
1647527503901744446,-0.107
1647527503922029219,-0.107
1647527503939425736,-0.107
1647527503959213225,-0.107
1647527503980254672,-0.107
1647527504004421468,-0.107
1647527504021586986,-0.107
1647527504048685487,-0.11
1647527504058364358,-0.11
1647527504078903044,-0.11
1647527504100620193,-0.11
1647527504119601617,-0.11
1647527504138302562,-0.11
1647527504159570130,-0.106
1647527504178227292,-0.106
1647527504205220470,-0.106
1647527504219155625,-0.106
1647527504238830417,-0.106
1647527504257419117,-0.107
1647527504277798619,-0.107
1647527504298709701,-0.107
1647527504321935933,-0.107
1647527504339324706,-0.107
1647527504362820041,-0.104
1647527504384856128,-0.104
1647527504401983093,-0.104
1647527504417437495,-0.104
1647527504441432435,-0.103
1647527504458943207,-0.103
1647527504477669158,-0.103
1647527504496998633,-0.103
1647527504516628771,-0.103
1647527504541128217,-0.107
1647527504558196398,-0.107
1647527504577776686,-0.107
1647527504598150037,-0.107
1647527504616694410,-0.107
1647527504638013255,-0.107
1647527504657924809,-0.105
1647527504683138941,-0.105
1647527504700139018,-0.105
1647527504717183658,-0.105
1647527504737836951,-0.105
1647527504757942013,-0.104
1647527504780197193,-0.104
1647527504800999508,-0.104
1647527504818903416,-0.104
1647527504838640480,-0.104
1647527504858119676,-0.107
1647527504878015251,-0.107
1647527504900591524,-0.107
1647527504931905902,-0.107
1647527504944428548,-0.101
1647527504962684473,-0.101
1647527504981974299,-0.101
1647527505001685748,-0.101
1647527505023475342,-0.101
1647527505041440388,-0.103
1647527505057396273,-0.103
1647527505081248257,-0.103
1647527505101407675,-0.103
1647527505119912269,-0.103
1647527505137189571,-0.103
1647527505157196947,-0.107
1647527505180516796,-0.107
1647527505202285696,-0.107
1647527505220481482,-0.107
1647527505237545854,-0.107
1647527505257914707,-0.104
1647527505277087781,-0.104
1647527505296738108,-0.104
1647527505317725672,-0.104
1647527505336355385,-0.104
1647527505356974896,-0.108
1647527505377656934,-0.108
1647527505397565625,-0.108
1647527505418132515,-0.108
1647527505436248539,-0.108
1647527505457194077,-0.098
1647527505477977325,-0.098
1647527505501310655,-0.098
1647527505523386978,-0.098
1647527505542294360,-0.104
1647527505560771428,-0.104
1647527505583500915,-0.104
1647527505598164293,-0.104
1647527505618470499,-0.104
1647527505638708983,-0.104
1647527505657252474,-0.105
1647527505678300936,-0.105
1647527505697473638,-0.105
1647527505718438083,-0.105
1647527505737939303,-0.105
1647527505757430234,-0.108
1647527505778184661,-0.108
1647527505798290662,-0.108
1647527505817784729,-0.108
1647527505837368090,-0.108
1647527505857757578,-0.106
1647527505879912827,-0.106
1647527505901247933,-0.106
1647527505920708466,-0.106
1647527505937776180,-0.106
1647527505956743502,-0.107
1647527505977330842,-0.107
1647527506000171811,-0.107
1647527506018122288,-0.107
1647527506041020395,-0.108
1647527506059488533,-0.108
1647527506077488574,-0.108
1647527506098159494,-0.108
1647527506117942523,-0.108
1647527506137767726,-0.108
1647527506156679344,-0.105
1647527506175218673,-0.105
1647527506197915483,-0.105
1647527506218323448,-0.105
1647527506238072726,-0.105
1647527506257668322,-0.121
1647527506278036979,-0.121
1647527506298412507,-0.121
1647527506320594924,-0.121
1647527506337811676,-0.121
1647527506362089644,-0.129
1647527506383459057,-0.129
1647527506406832229,-0.129
1647527506425911153,-0.129
1647527506438166573,-0.129
1647527506457649290,-0.139
1647527506476963493,-0.139
1647527506498398878,-0.139
1647527506520934628,-0.139
1647527506537803148,-0.139
1647527506562039729,-0.153
1647527506586949528,-0.153
1647527506609731278,-0.153
1647527506624496963,-0.153
1647527506643480595,-0.167
1647527506667736653,-0.167
1647527506683042428,-0.167
1647527506700678322,-0.167
1647527506716934445,-0.167
1647527506737766680,-0.167
1647527506757642840,-0.181
1647527506777238773,-0.181
1647527506795643800,-0.181
1647527506816697963,-0.181
1647527506837864813,-0.181
1647527506857710434,-0.193
1647527506877394557,-0.193
1647527506897388268,-0.193
1647527506917925767,-0.193
1647527506937824630,-0.193
1647527506957985119,-0.213
1647527506977675238,-0.213
1647527506998147798,-0.213
1647527507018165179,-0.213
1647527507038052303,-0.213
1647527507057042717,-0.23
1647527507077830419,-0.23
1647527507098241579,-0.23
1647527507123754722,-0.23
1647527507140501530,-0.245
1647527507162208156,-0.245
1647527507182253848,-0.245
1647527507204195163,-0.245
1647527507223120782,-0.245
1647527507246045701,-0.26
1647527507265438185,-0.26
1647527507282703267,-0.26
1647527507300894373,-0.26
1647527507322569634,-0.26
1647527507340794575,-0.281
1647527507354957519,-0.281
1647527507377439121,-0.281
1647527507396913583,-0.281
1647527507416723059,-0.281
1647527507437559215,-0.281
1647527507459456703,-0.302
1647527507476940519,-0.302
1647527507501015860,-0.302
1647527507520696157,-0.302
1647527507535791003,-0.302
1647527507557671553,-0.319
1647527507577687934,-0.319
1647527507597597612,-0.319
1647527507618697509,-0.319
1647527507636519994,-0.319
1647527507658742764,-0.334
1647527507680411375,-0.334
1647527507698449360,-0.334
1647527507718079388,-0.334
1647527507738600181,-0.334
1647527507755205690,-0.356
1647527507778110516,-0.356
1647527507798257253,-0.356
1647527507818095377,-0.356
1647527507838141280,-0.356
1647527507857694584,-0.374
1647527507877227459,-0.374
1647527507901115947,-0.374
1647527507921357509,-0.374
1647527507938646896,-0.374
1647527507959350986,-0.391
1647527507984743276,-0.391
1647527508003247873,-0.391
1647527508017310122,-0.391
1647527508037169241,-0.391
1647527508055060604,-0.413
1647527508076771160,-0.413
1647527508096031269,-0.413
1647527508117416827,-0.413
