%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648140446895105145,1500,1500,1442,1500,1500,1500,1500,1500
1648140446918532037,1500,1500,1442,1500,1500,1500,1500,1500
1648140446939071813,1500,1500,1442,1500,1500,1500,1500,1500
1648140446958462016,1500,1500,1442,1500,1500,1500,1500,1500
1648140446981572503,1500,1500,1442,1500,1500,1500,1500,1500
1648140446999152250,1500,1500,1442,1500,1500,1500,1500,1500
1648140447020420635,1500,1500,1442,1500,1500,1500,1500,1500
1648140447038985220,1500,1500,1442,1500,1500,1500,1500,1500
1648140447059970730,1500,1500,1442,1500,1500,1500,1500,1500
1648140447087583124,1500,1500,1442,1500,1500,1500,1500,1500
1648140447108047833,1500,1500,1442,1500,1500,1500,1500,1500
1648140447129483035,1500,1500,1442,1500,1500,1500,1500,1500
1648140447148819878,1500,1500,1442,1500,1500,1500,1500,1500
1648140447168899625,1500,1500,1442,1500,1500,1500,1500,1500
1648140447188810883,1500,1500,1442,1500,1500,1500,1500,1500
1648140447210633373,1500,1500,1442,1500,1500,1500,1500,1500
1648140447232978444,1500,1500,1442,1500,1500,1500,1500,1500
1648140447255291484,1500,1500,1442,1500,1500,1500,1500,1500
1648140447275940104,1500,1500,1442,1500,1500,1500,1500,1500
1648140447293699692,1500,1500,1442,1500,1500,1500,1500,1500
1648140447313504252,1500,1500,1442,1500,1500,1500,1500,1500
1648140447333288586,1500,1500,1442,1500,1500,1500,1500,1500
1648140447350562596,1500,1500,1442,1500,1500,1500,1500,1500
1648140447370330781,1500,1500,1442,1500,1500,1500,1500,1500
1648140447396433959,1500,1500,1442,1500,1500,1500,1500,1500
1648140447415954313,1500,1500,1442,1500,1500,1500,1500,1500
1648140447436255102,1500,1500,1442,1500,1500,1500,1500,1500
1648140447458748099,1500,1500,1442,1500,1500,1500,1500,1500
1648140447480193001,1500,1500,1442,1500,1500,1500,1500,1500
1648140447501308622,1500,1500,1442,1500,1500,1500,1500,1500
1648140447523999227,1500,1500,1442,1500,1500,1500,1500,1500
1648140447546060701,1500,1500,1442,1500,1500,1500,1500,1500
1648140447568894753,1500,1500,1442,1500,1500,1500,1500,1500
1648140447589145177,1500,1500,1442,1500,1500,1500,1500,1500
1648140447609302369,1500,1500,1442,1500,1500,1500,1500,1500
1648140447631162827,1500,1500,1442,1500,1500,1500,1500,1500
1648140447650836430,1500,1500,1442,1500,1500,1500,1500,1500
1648140447670263593,1500,1500,1442,1500,1500,1500,1500,1500
1648140447689097608,1500,1500,1442,1500,1500,1500,1500,1500
1648140447709732623,1500,1500,1442,1500,1500,1500,1500,1500
1648140447733635426,1500,1500,1442,1500,1500,1500,1500,1500
1648140447751254689,1500,1500,1442,1500,1500,1500,1500,1500
1648140447774116919,1500,1500,1442,1500,1500,1500,1500,1500
1648140447797162493,1500,1500,1442,1500,1500,1500,1500,1500
1648140447816405017,1500,1500,1442,1500,1500,1500,1500,1500
1648140447838828736,1500,1500,1442,1500,1500,1500,1500,1500
1648140447858410972,1500,1500,1442,1500,1500,1500,1500,1500
1648140447880586538,1500,1500,1442,1500,1500,1500,1500,1500
1648140447900440100,1500,1500,1442,1500,1500,1500,1500,1500
1648140447920444827,1500,1500,1442,1500,1500,1500,1500,1500
1648140447940251447,1500,1500,1442,1500,1500,1500,1500,1500
1648140447961425393,1500,1500,1442,1500,1500,1500,1500,1500
1648140447980961671,1500,1500,1442,1500,1500,1500,1500,1500
1648140448000633413,1500,1500,1442,1500,1500,1500,1500,1500
1648140448024073889,1500,1500,1442,1500,1500,1500,1500,1500
1648140448044309146,1500,1500,1442,1500,1500,1500,1500,1500
1648140448065674556,1500,1500,1442,1500,1500,1500,1500,1500
1648140448086558419,1500,1500,1442,1500,1500,1500,1500,1500
1648140448110281590,1500,1500,1442,1500,1500,1500,1500,1500
1648140448131305574,1500,1500,1442,1500,1500,1500,1500,1500
1648140448151800122,1500,1500,1442,1500,1500,1500,1500,1500
1648140448174792176,1500,1500,1442,1500,1500,1500,1500,1500
1648140448195684650,1500,1500,1442,1500,1500,1500,1500,1500
1648140448216707547,1500,1500,1442,1500,1500,1500,1500,1500
1648140448235305148,1500,1500,1442,1500,1500,1500,1500,1500
1648140448256474981,1500,1500,1442,1500,1500,1500,1500,1500
1648140448281258445,1500,1500,1442,1500,1500,1500,1500,1500
1648140448300793481,1500,1500,1442,1500,1500,1500,1500,1500
1648140448325778945,1500,1500,1442,1500,1500,1500,1500,1500
1648140448350362191,1500,1500,1442,1500,1500,1500,1500,1500
1648140448370007129,1500,1500,1442,1500,1500,1500,1500,1500
1648140448391042570,1500,1500,1442,1500,1500,1500,1500,1500
1648140448414239905,1500,1500,1442,1500,1500,1500,1500,1500
1648140448435196675,1500,1500,1442,1500,1500,1500,1500,1500
1648140448455275933,1500,1500,1442,1500,1500,1500,1500,1500
1648140448474169475,1500,1500,1442,1500,1500,1500,1500,1500
1648140448498606266,1500,1500,1442,1500,1500,1500,1500,1500
1648140448518824036,1500,1500,1442,1500,1500,1500,1500,1500
1648140448543285877,1500,1500,1442,1500,1500,1500,1500,1500
