rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fluid_pressure,variance
1646909096136860473,,4872,,1607382924,571004032,"""fcu""",103469.995117,0.0
1646909096173361304,,4873,,1607382924,609004032,"""fcu""",103490.002441,0.0
1646909096207630362,,4874,,1607382924,640795904,"""fcu""",103490.002441,0.0
1646909096237302619,,4875,,1607382924,670795904,"""fcu""",103490.002441,0.0
1646909096268415521,,4876,,1607382924,702795904,"""fcu""",103540.002441,0.0
1646909096307725581,,4877,,1607382924,741046528,"""fcu""",103540.002441,0.0
1646909096337339806,,4878,,1607382924,771046528,"""fcu""",103540.002441,0.0
1646909096371348094,,4879,,1607382924,806046528,"""fcu""",103479.992676,0.0
1646909096404741081,,4880,,1607382924,838060864,"""fcu""",103479.992676,0.0
1646909096439030186,,4881,,1607382924,871060864,"""fcu""",103479.992676,0.0
1646909096468833440,,4882,,1607382924,903060864,"""fcu""",103509.997559,0.0
1646909096503277876,,4883,,1607382924,936208064,"""fcu""",103509.997559,0.0
1646909096537321500,,4884,,1607382924,971208064,"""fcu""",103509.997559,0.0
1646909096569031678,,4885,,1607382925,1208064,"""fcu""",103540.002441,0.0
1646909096599050476,,4886,,1607382925,33215488,"""fcu""",103540.002441,0.0
1646909096637130856,,4887,,1607382925,71215488,"""fcu""",103540.002441,0.0
1646909096667778231,,4888,,1607382925,101215488,"""fcu""",103669.995117,0.0
1646909096699638698,,4889,,1607382925,133140736,"""fcu""",103669.995117,0.0
1646909096736256710,,4890,,1607382925,169140736,"""fcu""",103669.995117,0.0
1646909096768199994,,4891,,1607382925,201140736,"""fcu""",103640.002441,0.0
1646909096800129472,,4892,,1607382925,234282816,"""fcu""",103640.002441,0.0
1646909096833364422,,4893,,1607382925,267282816,"""fcu""",103640.002441,0.0
1646909096865829963,,4894,,1607382925,301282816,"""fcu""",103550.0,0.0
1646909096897099292,,4895,,1607382925,331149440,"""fcu""",103550.0,0.0
1646909096929373125,,4896,,1607382925,363149440,"""fcu""",103550.0,0.0
1646909096965950290,,4897,,1607382925,401149440,"""fcu""",103440.002441,0.0
1646909097000106570,,4898,,1607382925,433277952,"""fcu""",103440.002441,0.0
1646909097031671494,,4899,,1607382925,467277952,"""fcu""",103440.002441,0.0
1646909097063485263,,4900,,1607382925,497277952,"""fcu""",103419.995117,0.0
1646909097097365517,,4901,,1607382925,531432064,"""fcu""",103419.995117,0.0
1646909097130258136,,4902,,1607382925,563432064,"""fcu""",103419.995117,0.0
1646909097162837405,,4903,,1607382925,596432064,"""fcu""",103590.002441,0.0
1646909097197237389,,4904,,1607382925,631028352,"""fcu""",103590.002441,0.0
1646909097228790624,,4905,,1607382925,661028352,"""fcu""",103590.002441,0.0
1646909097258000751,,4906,,1607382925,693028352,"""fcu""",103559.997559,0.0
1646909097296847599,,4907,,1607382925,731350656,"""fcu""",103559.997559,0.0
1646909097329341528,,4908,,1607382925,763350656,"""fcu""",103559.997559,0.0
1646909097359101553,,4909,,1607382925,794350656,"""fcu""",104090.002441,0.0
1646909097393623968,,4910,,1607382925,825978944,"""fcu""",104090.002441,0.0
1646909097428331903,,4911,,1607382925,860978944,"""fcu""",104090.002441,0.0
1646909097458513261,,4912,,1607382925,890978944,"""fcu""",103669.995117,0.0
1646909097493298433,,4913,,1607382925,925809984,"""fcu""",103669.995117,0.0
1646909097525335236,,4914,,1607382925,960809984,"""fcu""",103669.995117,0.0
1646909097556749030,,4915,,1607382925,990809984,"""fcu""",102500.0,0.0
1646909097589579609,,4916,,1607382926,23914432,"""fcu""",102500.0,0.0
1646909097625808450,,4917,,1607382926,60914432,"""fcu""",102500.0,0.0
1646909097658773087,,4918,,1607382926,92914432,"""fcu""",103400.0,0.0
1646909097693534145,,4919,,1607382926,126186816,"""fcu""",103400.0,0.0
1646909097725196971,,4920,,1607382926,159186816,"""fcu""",103400.0,0.0
1646909097757068063,,4921,,1607382926,191186816,"""fcu""",103419.995117,0.0
1646909097791062674,,4922,,1607382926,225913408,"""fcu""",103419.995117,0.0
1646909097823228071,,4923,,1607382926,257913408,"""fcu""",103419.995117,0.0
1646909097856637776,,4924,,1607382926,290913408,"""fcu""",103429.992676,0.0
1646909097889346028,,4925,,1607382926,323891392,"""fcu""",103429.992676,0.0
1646909097922748950,,4926,,1607382926,355891392,"""fcu""",103429.992676,0.0
1646909097955974030,,4927,,1607382926,390891392,"""fcu""",103469.995117,0.0
1646909097988616401,,4928,,1607382926,420891392,"""fcu""",103469.995117,0.0
1646909098020311250,,4929,,1607382926,453978176,"""fcu""",103469.995117,0.0
1646909098052229632,,4930,,1607382926,485978176,"""fcu""",103579.992676,0.0
1646909098087788754,,4931,,1607382926,520978176,"""fcu""",103579.992676,0.0
1646909098120997354,,4932,,1607382926,554003520,"""fcu""",103579.992676,0.0
1646909098154271775,,4933,,1607382926,589003520,"""fcu""",103859.997559,0.0
